Image,Voltage,Strategy,Power(mW),Power_Saving(%),Distortion(%)
Image_39,13.0,both,982.48,26.56,2.5056
Image_39,12.0,none,726.51,45.69,5.4782
Image_39,12.0,brightness,761.45,43.08,4.8594
Image_39,12.0,contrast,773.51,42.18,4.6822
Image_39,12.0,both,807.73,39.62,4.0856
Image_39,11.0,none,560.96,58.07,7.4272
Image_39,11.0,brightness,594.77,55.54,6.7546
Image_39,11.0,contrast,606.12,54.69,6.5607
Image_39,11.0,both,638.68,52.26,5.9209
Image_39,10.0,none,414.5,69.01,9.4582
Image_39,10.0,brightness,443.4,66.85,8.7988
Image_39,10.0,contrast,452.28,66.19,8.6243
Image_39,10.0,both,479.01,64.19,8.0211
Image_39,9.0,none,287.13,78.54,11.5887
Image_39,9.0,brightness,307.42,77.02,11.064
Image_39,9.0,contrast,313.34,76.58,10.914
Image_39,9.0,both,331.76,75.2,10.4334
Image_40,15.0,none,1053.82,0.0,0.0
Image_40,15.0,brightness,1052.2,0.15,0.065
Image_40,15.0,contrast,1052.2,0.15,0.065
Image_40,15.0,both,1052.2,0.15,0.065
Image_40,14.0,none,883.56,16.16,1.6605
Image_40,14.0,brightness,899.22,14.67,1.3889
Image_40,14.0,contrast,902.76,14.33,1.3215
Image_40,14.0,both,921.68,12.54,1.0104
Image_40,13.0,none,727.6,30.96,3.3585
Image_40,13.0,brightness,754.48,28.41,2.844
Image_40,13.0,contrast,760.51,27.83,2.7311
Image_40,13.0,both,790.78,24.96,2.1899
Image_40,12.0,none,585.91,44.4,5.1223
Image_40,12.0,brightness,619.14,41.25,4.4197
Image_40,12.0,contrast,624.98,40.69,4.2935
Image_40,12.0,both,659.38,37.43,3.597
Image_40,11.0,none,458.51,56.49,6.9567
Image_40,11.0,brightness,490.74,53.43,6.164
Image_40,11.0,contrast,496.63,52.87,6.0404
Image_40,11.0,both,529.97,49.71,5.259
Image_40,10.0,none,345.4,67.22,8.8968
Image_40,10.0,brightness,373.16,64.59,8.1046
Image_40,10.0,contrast,377.81,64.15,7.9887
Image_40,10.0,both,405.48,61.52,7.2266
Image_40,9.0,none,246.58,76.6,10.9624
Image_40,9.0,brightness,266.12,74.75,10.321
Image_40,9.0,contrast,269.33,74.44,10.2057
Image_40,9.0,both,288.54,72.62,9.5806
Image_41,15.0,none,879.25,0.0,0.0
Image_41,15.0,brightness,877.74,0.17,0.0672
Image_41,15.0,contrast,877.74,0.17,0.0672
Image_41,15.0,both,877.74,0.17,0.0672
Image_41,14.0,none,741.32,15.69,1.1774
Image_41,14.0,brightness,760.06,13.56,0.8904
Image_41,14.0,contrast,756.0,14.02,0.9529
Image_41,14.0,both,777.68,11.55,0.6481
Image_41,13.0,none,614.73,30.08,2.3732
Image_41,13.0,brightness,645.9,26.54,1.8669
Image_41,13.0,contrast,640.65,27.14,1.9413
Image_41,13.0,both,675.36,23.19,1.4012
Image_41,12.0,none,499.46,43.19,3.6046
Image_41,12.0,brightness,537.55,38.86,2.903
Image_41,12.0,contrast,530.59,39.65,3.0289
Image_41,12.0,both,570.32,35.14,2.3299
Image_41,11.0,none,395.52,55.02,4.8725
Image_41,11.0,brightness,432.54,50.81,4.1051
Image_41,11.0,contrast,426.1,51.54,4.2383
Image_41,11.0,both,464.87,47.13,3.4575
Image_41,10.0,none,302.92,65.55,6.1866
Image_41,10.0,brightness,334.67,61.94,5.4395
Image_41,10.0,contrast,329.12,62.57,5.5687
Image_41,10.0,both,361.69,58.86,4.8192
Image_41,9.0,none,221.64,74.79,7.5303
Image_41,9.0,brightness,244.06,72.24,6.9573
Image_41,9.0,contrast,240.14,72.69,7.0401
Image_41,9.0,both,263.15,70.07,6.4441
Image_42,15.0,none,1333.13,0.0,0.0
Image_42,15.0,brightness,1331.55,0.12,0.0621
Image_42,15.0,contrast,1331.55,0.12,0.0621
Image_42,15.0,both,1331.55,0.12,0.0621
Image_42,14.0,none,1111.15,16.65,2.0318
Image_42,14.0,brightness,1124.65,15.64,1.7898
Image_42,14.0,contrast,1130.82,15.18,1.716
Image_42,14.0,both,1146.47,14.0,1.4475
Image_42,13.0,none,908.19,31.88,4.1272
Image_42,13.0,brightness,931.05,30.16,3.6802
Image_42,13.0,contrast,940.33,29.46,3.5638
Image_42,13.0,both,963.9,27.7,3.1148
Image_42,12.0,none,724.23,45.67,6.2887
Image_42,12.0,brightness,752.14,43.58,5.681
Image_42,12.0,contrast,760.67,42.94,5.5726
Image_42,12.0,both,786.29,41.02,5.023
Image_42,11.0,none,559.3,58.05,8.5329
Image_42,11.0,brightness,586.16,56.03,7.8816
Image_42,11.0,contrast,593.67,55.47,7.7732
Image_42,11.0,both,617.48,53.68,7.1983
Image_42,10.0,none,413.38,68.99,10.8748
Image_42,10.0,brightness,436.25,67.28,10.2515
Image_42,10.0,contrast,441.62,66.87,10.157
Image_42,10.0,both,460.72,65.44,9.6315
Image_42,9.0,none,286.47,78.51,13.339
Image_42,9.0,brightness,302.46,77.31,12.8629
Image_42,9.0,contrast,305.74,77.07,12.7697
Image_42,9.0,both,318.51,76.11,12.3818
Image_43,15.0,none,929.86,0.0,0.0
Image_43,15.0,brightness,928.15,0.18,0.0659
Image_43,15.0,contrast,928.15,0.18,0.0659
Image_43,15.0,both,928.15,0.18,0.0659
Image_43,14.0,none,782.56,15.84,1.4419
Image_43,14.0,brightness,799.01,14.07,1.1226
Image_43,14.0,contrast,797.81,14.2,1.1664
Image_43,14.0,both,816.93,12.14,0.8326
Image_43,13.0,none,647.45,30.37,2.9115
Image_43,13.0,brightness,674.99,27.41,2.3477
Image_43,13.0,contrast,673.82,27.54,2.3915
Image_43,13.0,both,704.44,24.24,1.8021
Image_43,12.0,none,524.52,43.59,4.4325
Image_43,12.0,brightness,558.34,39.95,3.6341
Image_43,12.0,contrast,555.93,40.21,3.7462
Image_43,12.0,both,590.67,36.48,2.9765
Image_43,11.0,none,413.79,55.5,6.001
Image_43,11.0,brightness,446.61,51.97,5.1369
Image_43,11.0,contrast,444.4,52.21,5.2486
Image_43,11.0,both,477.94,48.6,4.3911
Image_43,10.0,none,315.24,66.1,7.6401
Image_43,10.0,brightness,343.38,63.07,6.8064
Image_43,10.0,contrast,341.21,63.31,6.9092
Image_43,10.0,both,369.05,60.31,6.0973
Image_43,9.0,none,228.87,75.39,9.3441
Image_43,9.0,brightness,248.72,73.25,8.7088
Image_43,9.0,contrast,247.05,73.43,8.7493
Image_43,9.0,both,266.42,71.35,8.1231
Image_44,15.0,none,1415.96,0.0,0.0
Image_44,15.0,brightness,1414.99,0.07,0.0434
Image_44,15.0,contrast,1414.99,0.07,0.0434
Image_44,15.0,both,1414.99,0.07,0.0434
Image_44,14.0,none,1178.64,16.76,1.8082
Image_44,14.0,brightness,1198.72,15.34,1.5424
Image_44,14.0,contrast,1207.04,14.75,1.4451
Image_44,14.0,both,1229.26,13.19,1.1591
Image_44,13.0,none,961.74,32.08,3.6583
Image_44,13.0,brightness,994.43,29.77,3.1869
Image_44,13.0,contrast,1008.73,28.76,2.9921
Image_44,13.0,both,1043.75,26.29,2.4962
Image_44,12.0,none,765.25,45.96,5.567
Image_44,12.0,brightness,804.88,43.16,4.9181
Image_44,12.0,contrast,819.62,42.12,4.7071
Image_44,12.0,both,859.27,39.32,4.0774
Image_44,11.0,none,589.19,58.39,7.5396
Image_44,11.0,brightness,627.84,55.66,6.8301
Image_44,11.0,contrast,641.77,54.68,6.6029
Image_44,11.0,both,679.86,51.99,5.9183
Image_44,10.0,none,433.54,69.38,9.5987
Image_44,10.0,brightness,466.45,67.06,8.9137
Image_44,10.0,contrast,477.76,66.26,8.6924
Image_44,10.0,both,509.4,64.02,8.044
Image_44,9.0,none,298.3,78.93,11.7587
Image_44,9.0,brightness,321.42,77.3,11.2096
Image_44,9.0,contrast,329.21,76.75,11.0147
Image_44,9.0,both,351.25,75.19,10.4951
Image_45,15.0,none,1000.08,0.0,0.0
Image_45,15.0,brightness,998.24,0.18,0.0742
Image_45,15.0,contrast,998.24,0.18,0.0742
Image_45,15.0,both,998.24,0.18,0.0742
Image_45,14.0,none,839.78,16.03,1.4406
Image_45,14.0,brightness,854.21,14.59,1.175
Image_45,14.0,contrast,857.15,14.29,1.1545
Image_45,14.0,both,875.07,12.5,0.8622
Image_45,13.0,none,692.85,30.72,2.9188
Image_45,13.0,brightness,717.92,28.21,2.4309
Image_45,13.0,contrast,723.06,27.7,2.3834
Image_45,13.0,both,751.22,24.88,1.8589
Image_45,12.0,none,559.3,44.07,4.4456
Image_45,12.0,brightness,590.35,40.97,3.7618
Image_45,12.0,contrast,594.93,40.51,3.7441
Image_45,12.0,both,626.37,37.37,3.0796
Image_45,11.0,none,439.13,56.09,6.0209
Image_45,11.0,brightness,469.26,53.08,5.299
Image_45,11.0,contrast,473.62,52.64,5.2576
Image_45,11.0,both,502.8,49.72,4.5606
Image_45,10.0,none,332.33,66.77,7.6471
Image_45,10.0,brightness,358.22,64.18,6.9675
Image_45,10.0,contrast,361.15,63.89,6.9261
Image_45,10.0,both,384.31,61.57,6.3067
Image_45,9.0,none,238.9,76.11,9.2865
Image_45,9.0,brightness,257.15,74.29,8.7962
Image_45,9.0,contrast,258.68,74.13,8.7358
Image_45,9.0,both,274.23,72.58,8.2989
Image_46,15.0,none,1504.69,0.0,0.0
Image_46,15.0,brightness,1503.3,0.09,0.0544
Image_46,15.0,contrast,1503.3,0.09,0.0544
Image_46,15.0,both,1503.3,0.09,0.0544
Image_46,14.0,none,1250.94,16.86,2.0553
Image_46,14.0,brightness,1267.57,15.76,1.8135
Image_46,14.0,contrast,1277.48,15.1,1.6827
Image_46,14.0,both,1295.62,13.89,1.4317
Image_46,13.0,none,1019.11,32.27,4.1683
Image_46,13.0,brightness,1046.3,30.46,3.7396
Image_46,13.0,contrast,1061.35,29.46,3.5139
Image_46,13.0,both,1087.43,27.73,3.107
Image_46,12.0,none,809.19,46.22,6.3484
Image_46,12.0,brightness,841.99,44.04,5.7644
Image_46,12.0,contrast,855.91,43.12,5.5341
Image_46,12.0,both,883.02,41.32,5.0548
Image_46,11.0,none,621.2,58.72,8.613
Image_46,11.0,brightness,652.63,56.63,7.9868
Image_46,11.0,contrast,664.27,55.85,7.7613
Image_46,11.0,both,688.41,54.25,7.2799
Image_46,10.0,none,455.13,69.75,10.9888
Image_46,10.0,brightness,481.65,67.99,10.3834
Image_46,10.0,contrast,489.7,67.45,10.1929
Image_46,10.0,both,508.46,66.21,9.7667
Image_46,9.0,none,310.98,79.33,13.5187
Image_46,9.0,brightness,329.39,78.11,13.0375
Image_46,9.0,contrast,334.08,77.8,12.8807
Image_46,9.0,both,346.46,76.97,12.5628
Image_47,15.0,none,1165.16,0.0,0.0
Image_47,15.0,brightness,1163.57,0.14,0.0658
Image_47,15.0,contrast,1163.57,0.14,0.0658
Image_47,15.0,both,1163.57,0.14,0.0658
Image_47,14.0,none,974.29,16.38,1.693
Image_47,14.0,brightness,990.95,14.95,1.3986
Image_47,14.0,contrast,994.32,14.66,1.375
Image_47,14.0,both,1013.03,13.06,1.0699
Image_47,13.0,none,799.58,31.38,3.4279
Image_47,13.0,brightness,827.18,29.01,2.9181
Image_47,13.0,contrast,832.85,28.52,2.849
Image_47,13.0,both,862.56,25.97,2.3173
Image_47,12.0,none,641.05,44.98,5.2236
Image_47,12.0,brightness,674.56,42.11,4.5232
Image_47,12.0,contrast,679.91,41.65,4.4656
Image_47,12.0,both,713.77,38.74,3.7843
Image_47,11.0,none,498.69,57.2,7.0849
Image_47,11.0,brightness,531.02,54.43,6.3249
Image_47,11.0,contrast,536.45,53.96,6.2529
Image_47,11.0,both,569.22,51.15,5.5028
Image_47,10.0,none,372.5,68.03,9.0452
Image_47,10.0,brightness,400.15,65.66,8.295
Image_47,10.0,contrast,404.47,65.29,8.2309
Image_47,10.0,both,431.78,62.94,7.5059
Image_47,9.0,none,262.48,77.47,11.0835
Image_47,9.0,brightness,281.93,75.8,10.5064
Image_47,9.0,contrast,284.9,75.55,10.4278
Image_47,9.0,both,303.88,73.92,9.8543
Image_48,15.0,none,1251.44,0.0,0.0
Image_48,15.0,brightness,1249.86,0.13,0.0646
Image_48,15.0,contrast,1249.86,0.13,0.0646
Image_48,15.0,both,1249.86,0.13,0.0646
Image_48,14.0,none,1044.59,16.53,1.8169
Image_48,14.0,brightness,1060.6,15.25,1.5266
Image_48,14.0,contrast,1067.13,14.73,1.4658
Image_48,14.0,both,1085.75,13.24,1.1645
Image_48,13.0,none,855.37,31.65,3.6817
Image_48,13.0,brightness,882.37,29.49,3.1692
Image_48,13.0,contrast,892.79,28.66,3.0417
Image_48,13.0,both,921.26,26.38,2.5187
Image_48,12.0,none,683.78,45.36,5.6044
Image_48,12.0,brightness,716.67,42.73,4.9092
Image_48,12.0,contrast,726.65,41.94,4.7858
Image_48,12.0,both,757.94,39.43,4.132
Image_48,11.0,none,529.82,57.66,7.5924
Image_48,11.0,brightness,561.68,55.12,6.8453
Image_48,11.0,contrast,570.63,54.4,6.7084
Image_48,11.0,both,599.82,52.07,6.0169
Image_48,10.0,none,393.5,68.56,9.6769
Image_48,10.0,brightness,420.69,66.38,8.9558
Image_48,10.0,contrast,427.25,65.86,8.8302
Image_48,10.0,both,450.83,63.98,8.1957
Image_48,9.0,none,274.8,78.04,11.903
Image_48,9.0,brightness,293.84,76.52,11.323
Image_48,9.0,contrast,297.95,76.19,11.1977
Image_48,9.0,both,314.02,74.91,10.6971
Image_49,15.0,none,1017.16,0.0,0.0
Image_49,15.0,brightness,1014.96,0.22,0.0913
Image_49,15.0,contrast,1014.96,0.22,0.0913
Image_49,15.0,both,1014.96,0.22,0.0913
Image_49,14.0,none,853.7,16.07,1.5898
Image_49,14.0,brightness,867.86,14.68,1.3192
Image_49,14.0,contrast,872.46,14.23,1.2566
Image_49,14.0,both,889.45,12.56,0.9724
Image_49,13.0,none,703.89,30.8,3.2182
Image_49,13.0,brightness,728.01,28.43,2.754
Image_49,13.0,contrast,735.97,27.65,2.6089
Image_49,13.0,both,763.14,24.97,2.0961
Image_49,12.0,none,567.76,44.18,4.8961
Image_49,12.0,brightness,597.63,41.24,4.2379
Image_49,12.0,contrast,605.56,40.47,4.0984
Image_49,12.0,both,636.67,37.41,3.4461
Image_49,11.0,none,445.29,56.22,6.6407
Image_49,11.0,brightness,474.22,53.38,5.9347
Image_49,11.0,contrast,482.29,52.58,5.7548
Image_49,11.0,both,512.46,49.62,5.0453
Image_49,10.0,none,336.48,66.92,8.4676
Image_49,10.0,brightness,361.4,64.47,7.7575
Image_49,10.0,contrast,367.94,63.83,7.5995
Image_49,10.0,both,393.17,61.35,6.9152
Image_49,9.0,none,241.34,76.27,10.4163
Image_49,9.0,brightness,258.9,74.55,9.8398
Image_49,9.0,contrast,263.49,74.1,9.6884
Image_49,9.0,both,281.15,72.36,9.1213
