Image,Voltage,Strategy,Power(mW),Power_Saving(%),Distortion(%)
Image_7,10.0,brightness,450.55,67.03,8.7503
Image_7,10.0,contrast,454.78,66.72,8.686
Image_7,10.0,both,479.98,64.88,8.1218
Image_7,9.0,none,291.24,78.69,11.4874
Image_7,9.0,brightness,311.58,77.2,10.9938
Image_7,9.0,contrast,314.02,77.02,10.9315
Image_7,9.0,both,331.24,75.76,10.4988
Image_8,15.0,none,855.51,0.0,0.0
Image_8,15.0,brightness,853.36,0.25,0.0906
Image_8,15.0,contrast,853.36,0.25,0.0906
Image_8,15.0,both,853.36,0.25,0.0906
Image_8,14.0,none,721.98,15.61,1.2385
Image_8,14.0,brightness,739.45,13.57,0.9306
Image_8,14.0,contrast,735.55,14.02,1.0025
Image_8,14.0,both,756.12,11.62,0.6629
Image_8,13.0,none,599.38,29.94,2.5033
Image_8,13.0,brightness,628.61,26.52,1.9682
Image_8,13.0,contrast,623.73,27.09,2.0524
Image_8,13.0,both,656.38,23.28,1.4501
Image_8,12.0,none,487.71,42.99,3.8019
Image_8,12.0,brightness,523.56,38.8,3.0378
Image_8,12.0,contrast,516.83,39.59,3.2045
Image_8,12.0,both,554.18,35.22,2.4439
Image_8,11.0,none,386.96,54.77,5.1486
Image_8,11.0,brightness,421.78,50.7,4.3363
Image_8,11.0,contrast,415.58,51.42,4.4859
Image_8,11.0,both,451.84,47.18,3.6564
Image_8,10.0,none,297.14,65.27,6.5432
Image_8,10.0,brightness,326.97,61.78,5.74
Image_8,10.0,contrast,321.61,62.41,5.8963
Image_8,10.0,both,351.93,58.86,5.1095
Image_8,9.0,none,218.25,74.49,7.9833
Image_8,9.0,brightness,239.34,72.02,7.3724
Image_8,9.0,contrast,235.48,72.48,7.4746
Image_8,9.0,both,256.79,69.98,6.8384
Image_9,15.0,none,1297.46,0.0,0.0
Image_9,15.0,brightness,1295.98,0.11,0.0622
Image_9,15.0,contrast,1295.98,0.11,0.0622
Image_9,15.0,both,1295.98,0.11,0.0622
Image_9,14.0,none,1082.09,16.6,1.7661
Image_9,14.0,brightness,1099.15,15.28,1.4919
Image_9,14.0,contrast,1102.86,15.0,1.4576
Image_9,14.0,both,1122.46,13.49,1.1645
Image_9,13.0,none,885.12,31.78,3.583
Image_9,13.0,brightness,913.52,29.59,3.1099
Image_9,13.0,contrast,920.27,29.07,3.0143
Image_9,13.0,both,951.07,26.7,2.5013
Image_9,12.0,none,706.57,45.54,5.4497
Image_9,12.0,brightness,741.11,42.88,4.7898
Image_9,12.0,contrast,747.63,42.38,4.7073
Image_9,12.0,both,782.57,39.68,4.0588
Image_9,11.0,none,546.43,57.88,7.3917
Image_9,11.0,brightness,579.86,55.31,6.6821
Image_9,11.0,contrast,586.28,54.81,6.576
Image_9,11.0,both,619.86,52.23,5.873
Image_9,10.0,none,404.7,68.81,9.4123
Image_9,10.0,brightness,433.29,66.6,8.7083
Image_9,10.0,contrast,438.33,66.22,8.6199
Image_9,10.0,both,466.18,64.07,7.9495
Image_9,9.0,none,281.38,78.31,11.5407
Image_9,9.0,brightness,301.52,76.76,10.9782
Image_9,9.0,contrast,304.87,76.5,10.8897
Image_9,9.0,both,324.28,75.01,10.3468
Image_10,15.0,none,1238.5,0.0,0.0
Image_10,15.0,brightness,1236.87,0.13,0.0715
Image_10,15.0,contrast,1236.87,0.13,0.0715
Image_10,15.0,both,1236.87,0.13,0.0715
Image_10,14.0,none,1034.04,16.51,1.733
Image_10,14.0,brightness,1049.98,15.22,1.4848
Image_10,14.0,contrast,1057.48,14.62,1.3835
Image_10,14.0,both,1076.62,13.07,1.1086
Image_10,13.0,none,847.0,31.61,3.5103
Image_10,13.0,brightness,874.18,29.42,3.0683
Image_10,13.0,contrast,886.74,28.4,2.8681
Image_10,13.0,both,916.87,25.97,2.3865
Image_10,12.0,none,677.37,45.31,5.3436
Image_10,12.0,brightness,710.75,42.61,4.7305
Image_10,12.0,contrast,723.91,41.55,4.5052
